년월,평균기온(℃),최저기온(℃),최고기온(℃)
Jan-73,0.4,-11.3,11.3
Feb-73,0.6,-9.4,14.4
Mar-73,4.5,-5.3,20.8
Apr-73,12.4,0.9,27.7
May-73,17.4,9.5,27.8
Jun-73,21.4,12.9,30.8
Jul-73,26.8,19.7,34.5
Aug-73,25.9,21.2,35.2
Sep-73,20.3,8.3,28.6
Oct-73,13,2.2,24.9
Nov-73,4.7,-7.1,16.9
Dec-73,-3,-17.4,10.8
Jan-74,-2.4,-15.5,9.3
Feb-74,-2.1,-14,9.9
Mar-74,3.7,-8,19.5
Apr-74,10.7,0.8,23.1
May-74,16.7,7,29.3
Jun-74,19.7,9.7,31.1
Jul-74,23.5,18.2,30.7
Aug-74,25.1,15.7,33.9
Sep-74,20.6,11.2,29.9
Oct-74,12.6,0,23.2
Nov-74,5.4,-4.8,20.3
Dec-74,-0.5,-10.2,10.3
Jan-75,-2.7,-11.8,7
Feb-75,-0.8,-9.7,10.6
Mar-75,4.4,-5,15.8
Apr-75,13.3,1.2,29
May-75,16.7,7.8,27.7
Jun-75,21.4,13.2,32.4
Jul-75,24.9,18.4,33.4
Aug-75,27,20.4,35.3
Sep-75,22.6,13.6,31.5
Oct-75,15.4,5.4,25.6
Nov-75,9,-6.4,20.7
Dec-75,-1.6,-10.8,14.8
Jan-76,-3.8,-16.3,8.5
Feb-76,2.8,-6.4,14.5
Mar-76,4.8,-6.6,15.2
Apr-76,11.3,0.1,25
May-76,16.7,5.5,32.2
Jun-76,21.3,13.7,34.8
Jul-76,23.1,12.9,33.5
Aug-76,23.7,16.4,32
Sep-76,19.9,11,30.2
Oct-76,13.7,-1.5,25.1
Nov-76,3.5,-6.3,19.4
Dec-76,0.4,-18.5,12.2
Jan-77,-6.7,-15.8,4.2
Feb-77,-2.4,-16.8,15
Mar-77,5.4,-11.5,22
Apr-77,12.5,2.4,26.7
May-77,17.4,6.8,29.3
Jun-77,22.5,13.7,34.6
Jul-77,26,18.3,35
Aug-77,24.6,17.1,33.3
Sep-77,21.5,8.8,31.1
Oct-77,16.7,5.6,28.8
Nov-77,7.6,-4.3,20.2
Dec-77,2.4,-9.4,13.7
Jan-78,-2.4,-13.3,7.4
Feb-78,-2.5,-16,11
Mar-78,4.2,-8.2,17.4
Apr-78,11.5,0.4,25
May-78,18.5,7.2,29.8
Jun-78,21.9,12.5,30.7
Jul-78,26.4,18.2,36.1
Aug-78,25.8,19.2,34.4
Sep-78,20.9,13.4,30.6
Oct-78,14.5,4.2,29.2
Nov-78,7.9,-5,18.2
Dec-78,1.6,-10.7,14.6
Jan-79,0.9,-10.9,13.4
Feb-79,0.6,-13,17.4
Mar-79,6,-4.1,18.4
Apr-79,11.2,0.4,23.8
May-79,16.5,8,29.1
Jun-79,21.4,14.4,28.9
Jul-79,24.3,17.5,32.2
Aug-79,25.4,16.2,32.6
Sep-79,20.1,8.9,29.7
Oct-79,15.9,2.9,26.3
Nov-79,5.7,-11.1,23.5
Dec-79,1.4,-10.7,11.7
Jan-80,-3.7,-15.9,8.9
Feb-80,-3.1,-14.5,12
Mar-80,5.2,-2.6,18.1
Apr-80,10.1,1.4,21
May-80,16.5,7.5,31.7
Jun-80,21.6,12.1,31.6
Jul-80,22.7,16.9,30.3
Aug-80,22.8,17.2,30.6
Sep-80,19.6,8.1,29
Oct-80,13,0,25.6
Nov-80,8.6,-1.7,19.8
Dec-80,-3.8,-16.2,12
Jan-81,-7,-16.5,1.3
Feb-81,-1.4,-15.6,11.7
Mar-81,5.7,-5.1,21.7
Apr-81,11.9,1.7,25.3
May-81,15.9,5.4,28.5
Jun-81,21.8,8.8,30.7
Jul-81,25.4,19.2,35.2
Aug-81,24.5,17.2,33
Sep-81,20,11.6,29
Oct-81,13.4,0.6,23.3
Nov-81,3.6,-7,13.6
Dec-81,0.1,-11,10.2
Jan-82,-3.5,-14.1,6.8
Feb-82,0.6,-11.8,12.3
Mar-82,5.9,-5.3,17
Apr-82,12.3,3.1,27.5
May-82,17.9,8,28.9
Jun-82,21.9,11.7,30.6
Jul-82,25.1,18.3,33.7
Aug-82,25.4,18.3,35.5
Sep-82,20.8,9.9,30.9
Oct-82,15.8,-1.1,28.2
Nov-82,7.9,-7.1,21.4
Dec-82,-0.1,-9.8,10.6
Jan-83,-1.7,-13.9,9.2
Feb-83,-1.7,-13.3,10.3
Mar-83,6.4,-3.6,18.9
Apr-83,13.6,0.8,26.7
May-83,18.5,7.3,29.9
Jun-83,22.2,13.4,32.6
Jul-83,23.6,18.4,30.9
Aug-83,26,17.8,34.3
Sep-83,22,11.9,31.5
Oct-83,14.2,2,23.7
Nov-83,6.7,-6,18.5
Dec-83,-1.1,-13.5,11.7
Jan-84,-5.9,-13.6,4.1
Feb-84,-3.5,-15.1,8
Mar-84,2.5,-6.5,14.2
Apr-84,12.1,0.1,23
May-84,18.2,7.7,28.1
Jun-84,22.6,14.7,34.2
Jul-84,25.2,19.2,34.7
Aug-84,26.3,18.9,35.2
Sep-84,20.1,10.1,28.7
Oct-84,13.8,1.2,25.7
Nov-84,8.1,-5.7,21.2
Dec-84,-0.9,-12.8,14.5
Jan-85,-5.9,-16.7,3.5
Feb-85,-0.3,-11,10.8
Mar-85,4.3,-8.2,19
Apr-85,11.6,0,24.8
May-85,18.1,9,29.6
Jun-85,22.1,14.2,31.9
Jul-85,25.3,18.7,35.4
Aug-85,26.3,18.5,34.3
Sep-85,20.2,10.1,30.1
Oct-85,14.7,4.4,25.7
Nov-85,5.6,-4.6,18.8
Dec-85,-3.4,-13.6,8.2
Jan-86,-5.4,-19.2,7.1
Feb-86,-3.3,-12.7,5.2
Mar-86,4.9,-5.4,18.6
Apr-86,11.9,1.6,24.3
May-86,17.1,8.5,27.5
Jun-86,21.9,13.8,32.4
Jul-86,23.5,15.4,31.7
Aug-86,24.5,18.2,32.8
Sep-86,19.9,10.2,31
Oct-86,12.7,-0.5,23.9
Nov-86,5.2,-5.7,16.2
Dec-86,1.9,-9.7,13.2
Jan-87,-3,-15.1,8.9
Feb-87,-0.1,-10.6,12.8
Mar-87,4,-7.6,17.5
Apr-87,10.8,0.4,24.7
May-87,17,5.8,29
Jun-87,22.4,12,31.6
Jul-87,23.7,18.3,31.2
Aug-87,24.4,18.4,31.6
Sep-87,20.1,6.3,28.6
Oct-87,15.5,2.6,27.3
Nov-87,7.5,-9.2,19
Dec-87,0.9,-10.6,11.8
Jan-88,-2.1,-12.1,10.1
Feb-88,-1.5,-12.9,12.2
Mar-88,4.3,-6.8,16.1
Apr-88,11.3,3.2,23.8
May-88,17.9,9.1,31.7
Jun-88,22.3,13.9,32.8
Jul-88,24.4,19,31.6
Aug-88,26.4,18.4,36.6
Sep-88,21.4,11,30.8
Oct-88,15,2.2,25.6
Nov-88,5.5,-5.6,17.9
Dec-88,0.1,-12.2,13.9
Jan-89,0.8,-11.2,11.2
Feb-89,2.4,-8.2,15.4
Mar-89,6.1,-5,16.1
Apr-89,14.3,3.7,29.4
May-89,17.9,8.4,29.6
Jun-89,21.2,12.8,31.9
Jul-89,24.5,17.3,33.3
Aug-89,25.5,17.4,35.3
Sep-89,20.7,10.3,29.5
Oct-89,13.6,1.9,23.7
Nov-89,7.1,-6.3,17.4
Dec-89,1.4,-8.7,14.7
Jan-90,-3.2,-17.1,7.8
Feb-90,2.7,-5.2,12.9
Mar-90,7.2,-1.3,18.8
Apr-90,11.3,1.6,26.3
May-90,16.2,7.2,27.1
Jun-90,20.7,13.4,29.4
Jul-90,24.9,16.7,34.2
Aug-90,26.4,18.5,35.5
Sep-90,21.1,10.2,31.1
Oct-90,15.4,6.1,27.1
Nov-90,10,-4.9,21.9
Dec-90,0.8,-12.9,13.8
Jan-91,-2.6,-12.9,9.7
Feb-91,-0.9,-15,12
Mar-91,4.9,-6,18.9
Apr-91,13,-3.4,25.6
May-91,17.5,7.4,31.1
Jun-91,22.6,15.2,31.8
Jul-91,24.3,18,32
Aug-91,25.5,15.7,34.7
Sep-91,21.1,10.1,31
Oct-91,13.8,4.1,25.8
Nov-91,6.5,-4,17.6
Dec-91,2.2,-11.1,12.9
Jan-92,-0.2,-9.1,7.6
Feb-92,0.7,-7.8,15.9
Mar-92,7.6,-1.5,20.2
Apr-92,12,1.5,24.3
May-92,16.4,7.1,29.9
Jun-92,20.9,10.8,29.8
Jul-92,24.8,19.1,32.4
Aug-92,24.8,18.4,32.8
Sep-92,20.9,9.3,30.9
Oct-92,14,4,25.1
Nov-92,6.2,-9,17.2
Dec-92,1.5,-9.7,13.3
Jan-93,-1.9,-11.1,8.4
Feb-93,1,-8.6,14.2
Mar-93,5.8,-6.2,16.6
Apr-93,10.6,-0.3,23.5
May-93,18.2,9.4,31.9
Jun-93,21.3,13.4,29.2
Jul-93,23.3,16.2,31.1
Aug-93,23.2,16.3,30.6
Sep-93,21.2,10.8,30.5
Oct-93,13.4,0.6,25
Nov-93,8.5,-9,20.9
Dec-93,-0.2,-11.2,10
Jan-94,-0.9,-12.3,10
Feb-94,0.8,-10.8,11.4
Mar-94,4,-5.5,18.6
Apr-94,15.2,5.7,28.9
May-94,17.9,8.3,28
Jun-94,22.8,13.4,34.7
Jul-94,28.5,21.3,38.4
Aug-94,27.6,19,37
Sep-94,21,12.1,32
Oct-94,15.2,3.2,25.9
Nov-94,9.3,-2.2,19.8
Dec-94,1.1,-12.6,12.4
Jan-95,-2.1,-11.1,10.3
Feb-95,1.2,-7.9,9.9
Mar-95,6,-3.6,17.1
Apr-95,11.3,-0.4,25.2
May-95,17.1,6.3,29
Jun-95,21.6,12.1,29.6
Jul-95,24.5,17.7,33.6
Aug-95,26,18.8,33.7
Sep-95,20,10.7,28.4
Oct-95,15.5,4.2,25.6
Nov-95,6.2,-4.3,18.6
Dec-95,-1,-10.3,6.9
Jan-96,-2.2,-10.7,9.8
Feb-96,-1.6,-13.8,14
Mar-96,4.9,-3.8,17.5
Apr-96,10.2,-0.9,23.3
May-96,18.4,9.8,31.4
Jun-96,22.3,15.1,32.7
Jul-96,24.4,16.6,34.6
Aug-96,26,17.6,35.4
Sep-96,22,11.6,30.9
Oct-96,14.5,-0.4,23.8
Nov-96,6.1,-8,18.8
Dec-96,1.6,-10.5,12.7
Jan-97,-3.3,-13.7,8
Feb-97,0.7,-8.1,15.1
Mar-97,6.8,-4.3,20.2
Apr-97,13,2.7,22.3
May-97,17,8.8,27.9
Jun-97,23.4,12.4,35
Jul-97,26.1,18.1,36.1
Aug-97,26.8,19.6,34.1
Sep-97,20.2,10.3,31.9
Oct-97,13.4,-2,26.3
Nov-97,8.8,-3.2,20.2
Dec-97,1.8,-11.3,12.8
Jan-98,-1.3,-15.4,8.2
Feb-98,3.4,-7.7,15
Mar-98,7.3,-3.2,19.1
Apr-98,15.6,1.9,26.3
May-98,19,10.4,31.4
Jun-98,21.9,13.2,31.8
Jul-98,24.9,19.5,32.2
Aug-98,25,17.4,32
Sep-98,23,15.4,32.8
Oct-98,17,4.9,26.5
Nov-98,7.3,-6.8,20.5
Dec-98,2.3,-8.1,12.9
Jan-99,-0.8,-12.2,12.4
Feb-99,0.7,-12.3,10.2
Mar-99,6.7,-6.2,18.8
Apr-99,13.9,1.6,28.2
May-99,17.5,10.2,28.1
Jun-99,23.1,15.8,33.6
Jul-99,25.9,18.2,34.9
Aug-99,26,19.5,35.4
Sep-99,22.9,12.8,32
Oct-99,14.3,1.5,24
Nov-99,7.9,-6.1,18.6
Dec-99,0.4,-11.5,12
Jan-00,-2.1,-12.1,9.9
Feb-00,-1.7,-11.6,7.5
Mar-00,6.3,-4.8,18.9
Apr-00,11.9,1.8,23.5
May-00,17.5,7.9,30.5
Jun-00,23.7,14.6,33.9
Jul-00,26.8,19.9,34.2
Aug-00,26.2,19,35.1
Sep-00,20.7,11.9,31
Oct-00,14.9,3.5,26.5
Nov-00,7,-3.8,20.3
Dec-00,0.9,-11.4,11.9
Jan-01,-4.1,-18.6,6.8
Feb-01,-0.3,-10.4,12.2
Mar-01,5,-6.1,21
Apr-01,13.6,2.1,28.2
May-01,19.1,10.4,31.5
Jun-01,22.5,15.6,32.7
Jul-01,25.9,20.3,32.8
Aug-01,26.5,19.4,35.3
Sep-01,22.5,11,31.7
Oct-01,16.5,8.8,25.3
Nov-01,7,-3.1,16
Dec-01,-0.6,-8.8,10.9
Jan-02,0.3,-12,13.5
Feb-02,2.9,-5.1,12.6
Mar-02,7.6,-2.9,19.4
Apr-02,13.6,4.3,27.7
May-02,18.2,10,27.7
Jun-02,22.2,14.5,32
Jul-02,25.2,18.9,34.8
Aug-02,24.2,17.9,32.2
Sep-02,21.6,13.5,30.6
Oct-02,12.8,-0.3,24.9
Nov-02,4,-4.8,16.7
Dec-02,1.7,-9.1,15.9
Jan-03,-2.5,-15.5,8.7
Feb-03,2.7,-8.3,11.9
Mar-03,6.5,-5,20.9
Apr-03,13.2,4.8,24.6
May-03,19.6,8.5,30.4
Jun-03,21.5,14.4,31.1
Jul-03,23.8,18.3,31.4
Aug-03,24.1,16.6,32.2
Sep-03,20.9,13.8,28.7
Oct-03,13.9,2.7,26
Nov-03,9.5,-3.2,21.3
Dec-03,0.7,-8.1,12
Jan-04,-1.5,-16.7,8.1
Feb-04,2.3,-7.8,18.7
Mar-04,6.3,-5.6,18.7
Apr-04,13.1,2.7,27.3
May-04,17.6,8.8,27.6
Jun-04,23.2,14.6,32.5
Jul-04,24.8,19.5,34.5
Aug-04,26.1,18.7,36.2
Sep-04,21.7,12.8,31.3
Oct-04,15.2,5.3,25.6
Nov-04,9.1,0.2,21.5
Dec-04,1.9,-8.3,16.2
Jan-05,-2.5,-11,7.3
Feb-05,-1.9,-13.1,10.5
Mar-05,4.1,-6.5,17.6
Apr-05,13.2,4.1,29.8
May-05,17.7,6.3,30.2
Jun-05,22.7,15.5,32
Jul-05,25.3,18.3,34.2
Aug-05,25.1,16.5,35
Sep-05,21.8,13.8,30.8
Oct-05,14.7,3,24.9
Nov-05,8.6,-1.1,21.8
Dec-05,-3.9,-14,11.1
Jan-06,-0.2,-10.1,9.3
Feb-06,0.1,-14.1,11.5
Mar-06,5.2,-6.9,17.2
Apr-06,11.6,2.9,22.2
May-06,18.4,10.8,28.3
Jun-06,21.8,14.1,32.4
Jul-06,23.1,17.5,30.1
Aug-06,27,20.8,34.7
Sep-06,21.1,11.3,30.3
Oct-06,17.9,7.9,27.5
Nov-06,8.4,-1.3,20.2
Dec-06,1.4,-12.3,12.6
Jan-07,0.4,-7.6,11.8
Feb-07,4,-8.6,14.8
Mar-07,6.1,-7.6,16.2
Apr-07,11.4,1.6,22.5
May-07,18.1,9,30.1
Jun-07,23.2,14.1,33.2
Jul-07,24.2,17.7,31.2
Aug-07,26.5,19.8,33.2
Sep-07,21.5,14.1,31.1
Oct-07,15.1,3.2,26.2
Nov-07,6.7,-5.5,19.3
Dec-07,1.8,-7.4,13.8
Jan-08,-1.7,-11.1,7.3
Feb-08,-1.2,-10.1,10.5
Mar-08,7.3,-1.7,19.8
Apr-08,14.1,3.8,28
May-08,17.7,8.1,28.5
Jun-08,21.5,13.7,29.6
Jul-08,25.1,20.2,32.9
Aug-08,25.3,16.3,35.4
Sep-08,22,10.3,32
Oct-08,16.1,5.6,28.3
Nov-08,7.6,-7.2,18.4
Dec-08,1.1,-13.1,13.3
Jan-09,-2,-11.4,12.2
Feb-09,2.9,-8.6,16.1
Mar-09,6,-3.3,22.2
Apr-09,12.7,2.2,25.8
May-09,19.1,9.8,31
Jun-09,22.4,14.3,32.4
Jul-09,24.3,18.7,32.4
Aug-09,25.7,16.4,34.4
Sep-09,21.8,14.4,29.9
Oct-09,16,6.2,26.4
Nov-09,6.9,-4.3,21.8
Dec-09,-1,-12.9,10.1
Jan-10,-4.5,-15.3,8.4
Feb-10,1.4,-10.8,17.9
Mar-10,4.3,-4,14.2
Apr-10,9.5,1.1,20.7
May-10,17.2,5.8,28.6
Jun-10,23.4,12.1,32.7
Jul-10,25.8,21,32.3
Aug-10,26.5,19.9,33.8
Sep-10,21.8,8.4,31.4
Oct-10,14.5,0.7,24.2
Nov-10,6.5,-5.2,17.4
Dec-10,-1.3,-15.1,13.5
Jan-11,-7.2,-17.8,0.3
Feb-11,1.2,-9.2,13.2
Mar-11,3.6,-5.5,16.8
Apr-11,10.7,4.3,19
May-11,17.9,8.5,31.2
Jun-11,22,14.4,32.9
Jul-11,24.6,18.9,34.1
Aug-11,25.8,18.1,34.1
Sep-11,21.8,10.3,32.4
Oct-11,14.2,3.1,23.4
Nov-11,10.7,-5.5,25.9
Dec-11,-0.9,-10.6,9.1
Jan-12,-2.8,-12.2,8.4
Feb-12,-2,-17.1,12.1
Mar-12,5.1,-5.7,16.2
Apr-12,12.3,0.6,29.4
May-12,19.7,12,29.3
Jun-12,24.1,16.3,33.5
Jul-12,25.4,18.5,33.2
Aug-12,27.1,18.7,36.7
Sep-12,21,12,29.5
Oct-12,15.3,2.8,26
Nov-12,5.5,-3,15.7
Dec-12,-4.1,-14.5,8.3
Jan-13,-3.4,-16.4,11.5
Feb-13,-1.2,-15.8,13.9
Mar-13,5.1,-4.4,23.8
Apr-13,10,1.3,21.6
May-13,18.2,7.9,31.8
Jun-13,24.4,16.3,32.6
Jul-13,25.5,20.5,31.3
Aug-13,27.7,21.1,33.9
Sep-13,21.8,10.9,31.1
Oct-13,15.8,4.3,28.1
Nov-13,6.2,-6.4,20.7
Dec-13,-0.2,-9.8,11
Jan-14,-0.7,-10.5,8.2
Feb-14,1.9,-10.5,16.4
Mar-14,7.9,-4.6,23.8
Apr-14,14,2.3,26.2
May-14,18.9,6.8,33.3
Jun-14,23.1,17.3,31.1
Jul-14,26.1,19.1,34.4
Aug-14,25.2,18.3,35.8
Sep-14,22.1,14.9,31.3
Oct-14,15.6,2.7,29
Nov-14,9,-3.1,22.9
Dec-14,-2.9,-13.2,7.9
Jan-15,-0.9,-9.8,9
Feb-15,1,-13,13
Mar-15,6.3,-6.9,21.9
Apr-15,13.3,3.5,28.3
May-15,18.9,8.3,32.2
Jun-15,23.6,15.6,34.9
Jul-15,25.8,18.2,36
Aug-15,26.3,18.9,34.4
Sep-15,22.4,14.2,31
Oct-15,15.5,1.1,26.6
Nov-15,8.9,-7.3,21
Dec-15,1.6,-9.5,12.2
Jan-16,-3.2,-18,9.5
Feb-16,0.2,-10,14.4
Mar-16,7,-7.5,21.4
Apr-16,14.1,5.1,29.6
May-16,19.6,8.9,31.9
Jun-16,23.6,17.1,32.2
Jul-16,26.2,19.8,34.1
Aug-16,28,16.1,36.6
Sep-16,23.1,14.3,31.1
Oct-16,16.1,0.7,29
Nov-16,6.8,-6.2,18.6
Dec-16,1.2,-9.8,13.6
Jan-17,-1.8,-12.6,11.4
Feb-17,-0.2,-9.3,12.3
Mar-17,6.3,-5.3,18.9
Apr-17,13.9,3.1,27.8
May-17,19.5,10,30.3
Jun-17,23.3,14.5,34.1
Jul-17,26.9,21.9,35.4
Aug-17,25.9,16.1,35.3
Sep-17,22.1,11.2,31.4
Oct-17,16.4,2.5,29.4
Nov-17,5.6,-6.6,18.4
Dec-17,-1.9,-12.3,8.7
Jan-18,-4,-17.8,8.7
Feb-18,-1.6,-13.4,10.4
Mar-18,8.1,-6.7,22.1
Apr-18,13,0.1,26.3
May-18,18.2,6.9,29.6
Jun-18,23.1,16.3,32.9
Jul-18,27.8,17.7,38.3
Aug-18,28.8,20.2,39.6
Sep-18,21.5,10.8,30.9
Oct-18,13.1,0.7,25.6
Nov-18,7.8,-3.1,19.4
Dec-18,-0.6,-14.4,13.5
Jan-19,-0.9,-10.1,8.5
Feb-19,1,-10.2,14.5
Mar-19,7.1,-1.7,17.6
Apr-19,12.1,0.3,28.2
May-19,19.4,8.4,33.4
Jun-19,22.5,14.1,32.8
Jul-19,25.9,19.3,36.1
Aug-19,27.2,18.5,36.8
Sep-19,22.6,13.6,30.5
Oct-19,16.4,4.7,28.2
Nov-19,7.6,-4.6,22.1
Dec-19,1.4,-10.9,12.9
Jan-20,1.6,-6.5,11.9
Feb-20,2.5,-11.8,15.6
Mar-20,7.7,-2.8,20.6
Apr-20,11.1,1.9,23.8
May-20,18,9.2,30
Jun-20,23.9,14.8,35.4
Jul-20,24.1,17.2,32.9
Aug-20,26.5,21.5,34.5
Sep-20,21.4,13.6,29.5
Oct-20,14.3,3.2,23.6
Nov-20,8,-3.6,20
Dec-20,-0.3,-12.9,11.4
Jan-21,-2.4,-18.6,13.9
Feb-21,2.7,-10.6,17.4
Mar-21,9,-1.2,22.9
Apr-21,14.2,3.1,28.2
May-21,17.1,7.3,30.8
Jun-21,22.8,13.3,31.6
Jul-21,28.1,19.6,36.5
Aug-21,25.9,18.1,33.7
Sep-21,22.6,16,30.3
Oct-21,15.6,1.3,28.8
Nov-21,8.2,-3.7,21.3
Dec-21,,-4.6,7
